Name,RANK,GP,PPG,FGA,RPG,FGM,FG%,3PA,3PM,3P%,FTA,FTM,FT%,APG,BPG,SPG,TPG,F,POS,Team
       Bryce Cotton    ,1,11,22.91,17.55,3.73,7.18,40.9,8.36,3,35.9,5.91,5.55,93.8,4.27,0,1.82,1.91,45,G,Perth Wildcats
       Mitchell Creek    ,2,10,21.8,15.9,5.4,8.3,52.2,4.8,2,41.7,4.4,3.2,72.7,2.9,0.3,1.8,2.5,38,F,South East Melbourne Phoenix
       Victor Law    ,3,11,20.82,16.18,7.55,7.91,48.9,5.91,2.45,41.5,3.55,2.55,71.8,1.55,1.18,0.64,2.18,36,F,Perth Wildcats
       Jaylen Adams    ,4,8,20,17.38,5.25,6.63,38.1,8.5,2.75,32.4,4.75,4,84.2,5.75,0.5,1.75,3.13,31,G,Sydney Kings
       Yannick Wetzell    ,5,11,17.45,11.64,7,7.09,60.9,0,0,--,4.55,3.27,72,1.27,1,1.18,1.36,45,C,New Zealand Breakers
       Lamar Patterson    ,6,11,17.18,14.91,4.73,6.73,45.1,4.55,1.45,32,3.55,2.27,64.1,3.36,0.18,0.55,3.09,38,F,Brisbane Bullets
       Tahjere McCall    ,7,6,17.17,14,6.83,5.83,41.7,3.33,0.5,15,6.67,5,75,6.5,0.83,1.67,5,38,G,Cairns Taipans
       Tyler Harvey    ,8,12,16.83,15.58,3,6.33,40.6,8.67,2.83,32.7,1.92,1.33,69.6,3.25,0.33,2,1.58,34,G,Illawarra Hawks
       Nathan Sobey    ,9,10,16.8,14.6,4.6,5.3,36.3,7.3,1.9,26,5,4.3,86,3.9,0.5,0.8,2.8,42,G,Brisbane Bullets
       Chris Goulding    ,10,10,16.3,13.7,2.7,5.2,38,10.1,3.8,37.6,2.7,2.1,77.8,1.3,0.1,1.1,1.3,23,G,Melbourne United
       Jo Lual-Acuil    ,11,12,16.17,12.83,9.67,6.83,53.2,1.33,0.58,43.8,3.42,1.92,56.1,1.25,2.67,0.33,2.42,36,C,Melbourne United
       Jarell Martin    ,12,13,15.92,12.69,9.54,5.77,45.5,4.38,1.38,31.6,3.77,3,79.6,1,0.62,1.08,2,41,F,Sydney Kings
       Robert Franks    ,13,11,15.91,14,8.55,6,42.9,6.36,2.09,32.9,3,1.82,60.6,1.45,0.91,1.09,1.27,29,F,Brisbane Bullets
       Xavier Munford    ,14,10,15.7,12.3,3.5,5.3,43.1,3.5,1.2,34.3,4.8,3.9,81.3,4.2,0.2,1.1,2.3,36,G,South East Melbourne Phoenix
       Majok Deng    ,15,7,15.57,11.43,5.57,5.43,47.5,5.43,1.57,28.9,3.43,3.14,91.7,1.29,1.14,1,2.43,20,F,Cairns Taipans
       Josh Adams    ,16,12,15.25,14.42,3.83,5.25,36.4,5.5,1.25,22.7,4.67,3.5,75,2.33,0.17,1.33,2,42,G,Tasmanian Jackjumpers
       Josh Magette    ,17,12,14.58,14.25,3.58,4.67,32.7,7.75,2.42,31.2,3.42,2.83,82.9,5.92,0.08,1.08,1.83,41,G,Tasmanian Jackjumpers
       Daniel Johnson    ,18,10,14.3,11.6,5.7,5.1,44,4.3,1.1,25.6,3.6,3,83.3,1.7,0.9,0.1,2.5,32,F,Adelaide 36ers
       Dusty Hannahs    ,19,10,14.2,11,1.9,5.2,47.3,3,0.9,30,3.1,2.9,93.5,1.8,0,0.4,1.8,22,G,Adelaide 36ers
       Hugo Besson    ,20,12,13.75,11.92,4.33,4.67,39.2,6.08,2,32.9,3,2.42,80.6,1.17,0,0.08,2,37,G,New Zealand Breakers
       Caleb Agada    ,21,12,13.58,13.5,6.33,5,37,5.83,1.58,27.1,2.42,2,82.8,2.25,0.5,1.58,1.42,26,G,Melbourne United
       Cameron Bairstow    ,22,10,13,11,9.6,5.2,47.3,2.5,0.6,24,2.8,2,71.4,2,0.8,1.2,1.7,18,F,Adelaide 36ers
       Duop Reath    ,23,12,13,12.58,6.58,5.42,43,3.67,1.33,36.4,1,0.83,83.3,1.08,1.42,0.58,1.33,13,C,Illawarra Hawks
       Antonius Cleveland    ,24,12,13,11.75,5.83,5.08,43.3,2.67,0.67,25,3.5,2.17,61.9,1.67,1.17,2,1.17,34,G,Illawarra Hawks
       Justinian Jessup    ,25,12,12.75,11.58,3.83,5,43.2,6,2,33.3,0.83,0.75,90,2.5,0.5,1.08,0.58,9,G,Illawarra Hawks
       Xavier Cooks    ,26,13,12.69,10.69,9.54,5.23,48.9,2.23,0.54,24.1,2.77,1.69,61.1,2.54,1.69,0.46,2.46,43,F,Sydney Kings
       Jeremiah Martin    ,27,10,12.3,12,2.8,4.7,39.2,3.1,0.7,22.6,3.1,2.2,71,3.5,0.3,1.1,1.7,29,G,New Zealand Breakers
       Peyton Siva    ,28,7,12.14,8.86,2.57,3.57,40.3,6.14,2.14,34.9,3.86,2.86,74.1,3.14,0.14,2.14,1.43,24,G,New Zealand Breakers
       Finn Delany    ,29,12,11.42,10.58,6.25,3.83,36.2,5.83,1.75,30,2.58,2,77.4,1.92,0.17,0.33,2.33,28,F,New Zealand Breakers
       Dejan Vasiljevic    ,30,11,11.27,9.82,2.45,4,40.7,5.91,2.45,41.5,1,0.82,81.8,1.36,0.18,0.27,0.64,15,G,Sydney Kings
       Kouat Noi    ,31,4,11.25,10,4.75,3.75,37.5,4.5,1.75,38.9,2.75,2,72.7,1.75,0.5,1.5,2.25,7,F,Cairns Taipans
       Zhou Qi    ,32,8,11.25,6.5,6.88,4.5,69.2,0.13,0,--,3.38,2.25,66.7,0.5,2.75,0.63,1.75,37,C,South East Melbourne Phoenix
       Kyle Adnam    ,33,8,11.13,9.75,2.13,4,41,3.63,1.38,37.9,2.38,1.75,73.7,2.75,0,0.5,1.5,17,G,South East Melbourne Phoenix
       Todd Blanchfield    ,34,7,11,8,3.29,3.86,48.2,4.14,2.29,55.2,1.14,1,87.5,1.14,0.57,1.29,0.43,10,F,Perth Wildcats
       Sunday Dech    ,35,5,10.8,10.4,3.2,3.8,36.5,5,2.2,44,2.2,1,45.5,1.6,0.2,0.4,1.2,14,G,Adelaide 36ers
       Stephen Zimmerman    ,36,7,10.71,9.86,9.71,4.86,49.3,0.57,0.14,25,2.14,0.86,40,1.86,1.14,0.57,1.86,13,C,Cairns Taipans
       Bul Kuol    ,37,7,10.57,8.43,2,3.43,40.7,6.43,2.71,42.2,1,1,100,2.14,0.29,0.86,1.57,9,F,Cairns Taipans
       Todd Withers    ,38,10,10.5,7.5,5.1,3.6,48,3.9,1.6,41,2.6,1.7,65.4,1.7,0.3,0.5,1.3,23,F,Adelaide 36ers
       Matthew Dellavedova    ,39,12,10.33,9.25,3.33,3.58,38.7,4.08,1.25,30.6,2.42,1.92,79.3,5.58,0,1.25,2.42,36,G,Melbourne United
       Sam Froling    ,40,12,10.08,8.33,8.83,4.17,50,0.5,0.17,33.3,2.33,1.58,67.9,2.08,0.83,0.58,0.92,28,F,Illawarra Hawks
       Xavier Rathan-Mayes    ,41,12,10.08,10.17,3.58,4,39.3,3.75,0.83,22.2,2.08,1.25,60,3.42,0.08,0.67,2.33,33,G,Illawarra Hawks
       Ryan Broekhoff    ,42,10,9.7,8.8,6.8,3.3,37.5,5.1,1.1,21.6,2.4,2,83.3,0.5,0.4,1.5,0.9,20,G,South East Melbourne Phoenix
       Michael Frazier II    ,43,7,9.43,10.29,7.14,3.71,36.1,4.57,1.14,25,0.86,0.86,100,3.14,0.14,1,2.14,6,G,Perth Wildcats
       Jason Cadee    ,44,11,9.36,6.55,1.91,2.91,44.4,4.18,1.55,37,2.27,2,88,3.73,0,0.82,1.55,25,G,Brisbane Bullets
       Clint Steindl    ,45,12,9.25,8.33,2.42,3.42,41,5.08,1.83,36.1,0.83,0.58,70,0.42,0.42,1,0.67,12,F,Tasmanian Jackjumpers
       Jack White    ,46,8,9.13,6.5,6.88,3.5,53.8,1.38,0.5,36.4,2.25,1.63,72.2,0.75,1,0.5,1,14,F,Melbourne United
